Date,Open,High,Low,Close,Adj Close,Volume
2019-10-07,136.003830,136.424469,135.009567,135.066925,116.428032,2538119
2019-10-08,134.072662,134.292542,132.170166,132.294449,114.038155,3373768
2019-10-09,133.623322,134.158707,132.686417,133.527725,115.101242,2741357
2019-10-10,133.623322,135.544937,133.422562,134.923523,116.304428,2713010
2019-10-11,136.491394,138.145309,136.338425,136.481842,117.647682,3134653
2019-10-14,136.051620,136.166351,135.105164,135.793503,117.054352,2415737
2019-10-15,136.271515,137.399612,135.573608,136.711288,117.845474,3164673
2019-10-16,136.223709,136.663483,135.172089,135.860428,117.112030,5577900
2019-10-17,129.063095,130.019119,127.065010,128.355637,110.642883,16484751
2019-10-18,128.317398,128.575531,126.434036,128.193115,110.502792,7507665
2019-10-21,126.778206,127.246651,125.143402,126.749519,109.258408,6596181
2019-10-22,126.720840,128.154877,125.822182,128.068832,110.395668,4353034
2019-10-23,127.648186,128.652008,126.864243,128.470367,110.741783,3777001
2019-10-24,128.900574,129.130020,127.437859,128.173996,110.486320,2718031
2019-10-25,128.221802,129.952194,128.202682,129.483749,111.615326,2697739
2019-10-28,130.019119,130.621414,129.493301,129.990433,112.052086,3374501
2019-10-29,129.464630,129.608032,127.571701,127.934990,110.280273,4352092
2019-10-30,127.944550,129.330780,127.342255,129.302109,111.458740,2356638
2019-10-31,129.168259,129.302109,127.370934,127.848946,110.206123,3569057
2019-11-01,128.585083,129.598465,128.193115,129.569794,111.689491,3231931
2019-11-04,130.248566,131.682602,130.238998,131.615677,113.453033,3488828
2019-11-05,131.739960,132.657745,131.577438,131.826004,113.634354,3153690
2019-11-06,131.931168,132.676865,131.500961,132.676865,114.367798,4683256
2019-11-07,131.806885,133.021027,131.529633,131.634796,114.809723,4261195
2019-11-08,131.529633,131.558319,130.172089,131.558319,114.743019,2383206
2019-11-11,131.166351,131.166351,129.063095,129.512421,112.958618,2686128
2019-11-12,129.894836,130.650101,129.082214,129.627151,113.058685,3186639
2019-11-13,129.435944,129.617584,127.963669,128.565964,112.133141,3052646
2019-11-14,128.231354,128.422562,127.466537,128.107071,111.732910,4425940
2019-11-15,128.479919,129.177826,128.135757,128.489487,112.066429,3412575
2019-11-18,128.393875,128.565964,127.370934,128.403442,111.991394,3358078
2019-11-19,128.948380,129.426392,128.546844,128.604202,112.166489,3132770
2019-11-20,128.164429,128.546844,126.912048,127.342255,111.065834,4328557
2019-11-21,127.533463,128.269592,127.131927,127.954109,111.599495,3499184
2019-11-22,128.288712,128.728485,127.715103,128.432129,112.016396,3449185
2019-11-25,128.556412,130.019119,128.441681,129.990433,113.375534,2709245
2019-11-26,130.162521,130.162521,128.843216,129.149139,112.641777,3967687
2019-11-27,129.397705,129.741867,127.743790,127.887192,111.541122,3431821
2019-11-29,127.724663,128.604202,127.179733,128.537292,112.108131,1909264
2019-12-02,128.537292,128.585083,126.653923,127.065010,110.824036,3208187
2019-12-03,126.195030,126.615677,124.942642,126.309753,110.165314,3810055
2019-12-04,127.017204,127.801147,126.156792,126.185471,110.056885,3692380
2019-12-05,127.141495,127.380501,125.841301,126.108986,109.990211,3760788
2019-12-06,126.912048,128.001907,126.864243,127.361374,111.082520,3595625
2019-12-09,127.485657,128.671127,127.399620,128.030594,111.666183,3105051
2019-12-10,128.030594,128.910141,127.686424,128.021027,111.657860,3640498
2019-12-11,128.212234,128.594650,127.791588,127.877632,111.532784,4135152
2019-12-12,127.820267,129.694077,127.782028,129.369019,112.833549,5046009
2019-12-13,128.824097,129.541107,128.116638,128.307846,111.907990,2651610
2019-12-16,129.005737,129.493301,127.963669,128.231354,111.841301,3189463
2019-12-17,128.374756,128.766724,127.590820,128.317398,111.916344,3040931
2019-12-18,128.632889,129.063095,128.250473,128.499039,112.074760,3244483
2019-12-19,128.546844,128.804977,128.288712,128.642441,112.199837,4044359
2019-12-20,129.770554,130.420654,129.015289,129.627151,113.058685,7438943
2019-12-23,129.808792,130.162521,129.063095,129.588913,113.025337,2932147
2019-12-24,129.646271,129.655838,128.690247,129.043976,112.550049,1257397
2019-12-26,129.043976,129.359467,128.728485,128.977051,112.491692,2227666
2019-12-27,129.063095,129.780121,128.938812,129.321228,112.791862,2878801
2019-12-30,129.254303,129.349899,126.673042,126.969406,110.740654,4308369
2019-12-31,126.701721,128.221802,126.577438,128.145309,111.766258,3951265
2020-01-02,129.063095,129.942642,128.843216,129.464630,112.916931,3293436
2020-01-03,127.695984,128.929260,127.686424,128.432129,112.016396,2482890
2020-01-06,127.552582,128.336517,127.342255,128.202682,111.816292,2537073
2020-01-07,127.810707,129.024857,127.533463,128.288712,111.891319,3232977
2020-01-08,128.594650,129.885284,128.030594,129.359467,112.825218,4545916
2020-01-09,129.770554,130.774384,129.359467,130.726578,114.017586,3902208
2020-01-10,130.975143,131.806885,130.315491,130.678772,113.975891,3405148
2020-01-13,129.521988,130.630981,129.130020,130.592728,113.900848,3693426
2020-01-14,130.286804,131.108994,129.588913,129.847031,113.250458,3850326
2020-01-15,130.019119,131.988525,129.741867,130.611862,113.917534,4232011
2020-01-16,131.281067,132.112808,130.984711,131.912048,115.051521,4519661
2020-01-17,130.535370,132.246658,130.172089,132.227539,115.326698,5881972
2020-01-21,131.749527,133.221802,131.548752,133.049713,116.043808,7577329
2020-01-22,137.017212,139.378586,136.281067,137.562134,119.979431,17228038
2020-01-23,137.858505,138.059280,135.898666,136.587006,119.128967,5918059
2020-01-24,137.084137,137.590820,134.282990,134.378586,117.202805,5836889
2020-01-27,132.409180,133.910141,132.026764,132.523895,115.585175,4358264
2020-01-28,133.365204,134.292542,132.648178,133.412994,116.360626,3610374
2020-01-29,133.049713,133.441681,131.548752,131.634796,114.809723,3194275
2020-01-30,130.745697,130.946457,129.034424,130.755264,114.042595,5290563
2020-01-31,136.615677,137.715103,134.598465,137.409180,119.846039,19868352
2020-02-03,137.906311,140.803055,137.571701,139.837479,121.963966,9295488
2020-02-04,141.281067,142.810699,140.420654,142.552582,124.332031,5879566
2020-02-05,143.604202,150.516251,143.546844,149.455063,130.352280,15048593
2020-02-06,149.923523,151.768646,148.585083,149.866150,130.710815,8786923
2020-02-07,147.753342,148.699814,146.195023,146.663483,129.253250,6718876
2020-02-10,146.242828,147.648178,144.913956,147.638626,130.112625,5480831
2020-02-11,148.298279,148.393875,146.013382,146.730408,129.312225,4011515
2020-02-12,146.988525,148.757172,146.768646,148.479919,130.854050,4641939
2020-02-13,147.581268,148.021027,146.663483,147.523895,130.011520,3996452
2020-02-14,147.629059,147.762909,143.183563,144.072662,126.969971,6379763
2020-02-18,143.202682,144.722748,143.059280,144.455063,127.306984,3496778
2020-02-19,144.875717,145.210327,143.699814,144.225616,127.104774,2858613
2020-02-20,144.177826,144.952194,142.934998,144.569794,127.408081,3013003
2020-02-21,144.397705,144.397705,142.294449,143.250473,126.245369,3699597
2020-02-24,139.110901,141.539200,138.986618,139.990433,123.372337,5703210
2020-02-25,140.066925,140.602295,135.047806,135.478012,119.395576,6497229
2020-02-26,136.615677,137.724670,133.460800,133.604202,117.744194,5656663
2020-02-27,131.204590,132.590820,127.160614,127.256210,112.149765,8808471
2020-02-28,124.263863,125.325050,120.803062,124.426384,109.655884,13607832
2020-03-02,125.000000,128.527725,122.323135,128.393875,113.152382,8923844
2020-03-03,128.565964,130.114716,122.179733,123.231361,108.602715,8259321
2020-03-04,125.793503,128.374756,123.326958,128.317398,113.084991,5226234
2020-03-05,124.760994,126.472275,122.801147,123.852776,109.150352,5696725
2020-03-06,121.128105,122.686424,119.043976,122.112808,107.616928,8570192
2020-03-09,114.875717,117.026772,112.122368,112.629066,99.259010,11252345
2020-03-10,117.380501,119.388145,110.669212,119.282982,105.123039,11935592
2020-03-11,115.688339,117.189293,111.261948,112.782028,99.393806,8835039
2020-03-12,104.827919,104.971321,97.782028,98.288719,86.620979,13088284
2020-03-13,103.900574,104.359467,96.376671,103.202675,90.951614,13077197
2020-03-16,93.690247,102.686424,90.822182,94.722755,83.478325,11054128
2020-03-17,96.185471,102.676865,92.829826,101.959846,89.856323,9684182
2020-03-18,95.038239,102.227531,95.028679,98.996178,87.244461,9176035
2020-03-19,97.829826,99.130020,93.919693,95.927345,84.539925,8782739
2020-03-20,96.481834,96.548759,90.544930,91.195030,80.369377,11031639
2020-03-23,90.439774,93.441681,86.577438,90.602295,79.847000,10176952
2020-03-24,95.592735,101.376671,94.894836,100.841301,88.870552,8340699
2020-03-25,100.841301,107.533463,98.307838,101.195030,89.182297,9052084
2020-03-26,102.208412,108.173996,100.927345,107.925430,95.113731,7482561
2020-03-27,103.804970,106.596558,102.915871,103.279160,91.019012,6718458
2020-03-30,103.336517,108.470360,103.068832,107.963669,95.147423,5820467
2020-03-31,107.074570,108.804970,105.325050,106.051628,93.462372,6635092
2020-04-01,101.682602,105.086044,99.923515,100.516251,88.584091,6394093
2020-04-02,100.736137,105.468452,100.516251,105.162521,92.678802,6619820
2020-04-03,104.130020,105.229446,100.305923,101.663483,89.595116,4747585
2020-04-06,105.497131,110.544930,105.286804,109.770554,96.739815,7357773
2020-04-07,113.575523,114.311661,109.818359,109.885277,96.840919,5852684
2020-04-08,111.195030,114.684509,110.009560,114.043976,100.505943,5395896
2020-04-09,115.181641,117.514343,114.885277,116.156792,102.367958,5832705
2020-04-13,116.281075,116.443596,112.848946,115.822182,102.073067,5355206
2020-04-14,118.030594,119.674950,117.227531,118.460800,104.398453,5322780
2020-04-15,113.881454,114.904396,111.625237,113.470360,100.000435,5896616
2020-04-16,113.776291,114.483749,109.388145,110.640533,97.506508,6754650
2020-04-17,114.053535,115.095604,112.734222,114.837479,101.205261,5194436
2020-04-20,113.910133,117.456978,112.944550,115.114723,101.449600,8558058
2020-04-21,108.986618,111.998085,107.131927,111.625237,98.374336,15009054
2020-04-22,114.598473,115.038239,112.380501,114.063095,100.522789,7412479
2020-04-23,114.311661,117.619499,113.881454,116.013382,102.241570,7198154
2020-04-24,117.026772,119.502869,115.449333,119.235184,105.080917,5215251
2020-04-27,120.038239,121.405357,119.952202,120.382408,106.091957,5150295
2020-04-28,122.399620,122.562141,119.866158,120.717018,106.386841,4997893
2020-04-29,123.212234,123.623329,121.921608,123.030594,108.425781,5499450
2020-04-30,120.956024,121.673042,119.713196,120.038239,105.788635,6941047
2020-05-01,117.772469,118.040154,116.051628,116.510513,102.679680,5152073
2020-05-04,115.506691,116.606117,114.139580,116.328873,102.519615,4202723
2020-05-05,117.963669,118.852776,117.084129,117.189293,103.277885,4078772
2020-05-06,117.820267,118.594643,117.026772,117.753349,103.774986,4042372
2020-05-07,117.571701,117.839386,115.535370,115.898659,103.510292,4615580
2020-05-08,117.275337,117.810707,115.736137,117.581261,105.013046,5232615
2020-05-11,116.453156,118.021034,115.363289,117.198853,104.671501,3697924
2020-05-12,117.600380,118.852776,114.971321,114.971321,102.682068,5004587
2020-05-13,114.674950,114.713196,109.799232,110.640533,98.814194,6153409
2020-05-14,109.531548,111.940727,106.892921,111.806885,99.855881,5501332
2020-05-15,110.831741,112.227531,110.181641,111.835564,99.881493,5006470
2020-05-18,114.608032,116.978966,114.483749,116.214149,103.792061,4399162
2020-05-19,115.860420,116.797325,114.856598,115.000000,102.707687,3390191
2020-05-20,115.611855,117.084129,115.296364,116.042068,103.638374,4017372
2020-05-21,115.669212,116.367111,113.738052,113.881454,101.708710,4184941
2020-05-22,114.120461,114.216064,112.418739,113.183556,101.085411,4373117
2020-05-26,115.965584,117.227531,115.688339,116.405357,103.962814,5720888
2020-05-27,118.489487,120.296364,118.040154,120.019119,107.190315,5990965
2020-05-28,121.290634,121.386230,118.757172,119.053535,106.327934,4095404
2020-05-29,118.231361,119.627151,116.864243,119.407265,106.643875,8294675
2020-06-01,119.158699,120.219887,118.575523,119.397705,106.635338,3003798
2020-06-02,120.143402,120.458893,119.177818,120.458893,107.583084,3115093
2020-06-03,121.558319,123.900574,121.414917,123.374763,110.187271,4097914
2020-06-04,122.160614,123.279160,121.434036,123.221794,110.050659,4042581
2020-06-05,128.001907,128.326965,125.956024,126.252388,112.757317,6163764
2020-06-08,126.453156,129.904404,126.453156,129.780121,115.907974,5617543
2020-06-09,127.648186,127.724663,125.258125,126.070747,112.595093,5641706
2020-06-10,126.338432,126.414917,124.091782,124.158699,110.887413,4952601
2020-06-11,120.487572,120.554497,112.657745,112.820267,100.760948,12304726
2020-06-12,115.917786,117.705544,114.034416,116.548759,104.090904,6506434
2020-06-15,113.948372,116.988525,113.087952,116.300194,103.868904,5385959
2020-06-16,119.502869,121.892921,117.743790,119.646271,106.857315,5864608
2020-06-17,120.296364,120.697899,117.973228,118.690247,106.003494,3302013
2020-06-18,117.590820,118.929253,116.950287,118.699806,106.012024,2997208
2020-06-19,120.621414,121.242828,116.873802,117.084129,104.569046,8471554
2020-06-22,116.749519,117.112808,115.229446,115.745697,103.373680,4993081
2020-06-23,116.644356,117.495216,113.986618,114.158699,101.956306,6937700
2020-06-24,113.116638,113.116638,110.783936,111.300194,99.403358,7061546
2020-06-25,111.625237,113.967499,110.994263,113.795410,101.631851,6412608
2020-06-26,113.059273,113.757172,111.147224,112.036331,100.060814,11244605
2020-06-29,112.791588,114.512428,112.208412,114.483749,102.246620,4350837
2020-06-30,113.948372,115.869980,113.766731,115.458893,103.117531,4099797
2020-07-01,114.980881,115.898659,113.164436,113.326958,101.213478,4869967
2020-07-02,114.426384,116.080307,114.015297,114.435944,102.203926,3919362
2020-07-06,115.917786,116.491394,114.206497,114.904396,102.622314,4231488
2020-07-07,113.766731,114.254303,112.170174,112.409180,100.393806,4474893
2020-07-08,112.868073,113.422562,111.357552,112.533463,100.504799,5431669
2020-07-09,112.810707,112.810707,110.133842,110.621414,98.797127,4982098
2020-07-10,110.420647,113.355644,110.219887,113.145317,101.051247,4482842
2020-07-13,114.512428,115.669212,113.441681,113.957932,101.776993,4864632
2020-07-14,113.403442,115.573616,112.734222,115.296364,102.972374,4742982
2020-07-15,117.017204,118.508606,116.778206,117.590820,105.021576,4679176
2020-07-16,117.284897,119.005737,116.787766,118.556404,105.883949,4530121
2020-07-17,118.919693,120.105164,117.782028,119.608032,106.823174,4167892
2020-07-20,120.525810,121.481834,119.636711,120.812622,107.899017,10384374
2020-07-21,125.391968,126.357552,120.267685,120.516251,107.634308,16063004
2020-07-22,120.363289,123.776291,120.267685,123.011475,109.862823,8572388
